"ClienteID","Edad","Genero","CategoríaProducto","FechaCompra","Precio","Cantidad","Descuento","MétodoPago","TotalVenta"
1,48,"F","Ropa",2023-10-21,392.67,10,34,"Tarjeta",2591.62
2,32,"M","Juguetes",2023-06-27,167.9,7,44.99,"Transferencia",646.53
3,68,"M","Alimentos",2023-02-26,484.98,2,35.54,"Cash",625.24
4,31,"F","Juguetes",2023-07-02,434.91,3,83.55,"Transferencia",214.63
5,20,"M","Alimentos",2023-12-19,447.2,9,5.38,"Tarjeta",3808.27
6,59,"M","Hogar",2023-06-05,223.31,4,14,"Transferencia",768.19
7,67,"M","Hogar",2023-02-25,298.32,4,11.93,"Transferencia",1050.92
8,60,"F","Hogar",2023-12-07,54.54,8,55.1,"Cash",195.91
9,54,"M","Electrónica",2023-11-14,247.987691836735,7,13.35,"Cash",1504.17
10,69,"F","Alimentos",2023-11-18,306.85,5,20.58,"Cash",1218.5
11,31,"M","Ropa",2023-11-24,68.73,3,83.59,"Transferencia",33.84
12,42,"M","Hogar",2023-01-13,119.58,1,50.76,"Transferencia",58.88
13,43,"F","Juguetes",2023-10-28,135.38,5,91.74,"Cash",55.91
14,44,"M","Ropa",2023-02-04,394.27,8,53.96,"Transferencia",1452.18
15,22,"M","Alimentos",2023-02-07,88.43,7,36.14,"Transferencia",395.3
16,68,"M","Alimentos",2023-04-13,477.13,5,87.02,"Cash",309.66
17,44,"M","Alimentos",2023-01-07,465.14,10,30.73,"Cash",3222.02
18,45,"M","Juguetes",2023-09-19,90.03,10,37.84,"Cash",559.63
19,26,"M","Hogar",2023-06-13,404.67,9,72.1,"Cash",1016.13
20,46,"F","Ropa",2023-04-10,145.71,8,59.34,"Tarjeta",473.97
21,52,"F","Alimentos",2023-12-19,161.84,4,67.65,"Cash",209.42
22,25,"F","Alimentos",2023-03-05,74.69,3,89.21,"Cash",24.18
23,43,"F","Juguetes",2023-07-30,357.52,7,93.38,"Transferencia",165.67
